epoch,accuracy,loss,val_accuracy,val_loss
0,0.7455557584762573,0.7029339671134949,0.8018900156021118,0.42859041690826416
1,0.8444487452507019,0.3883713483810425,0.8390138745307922,0.3473166823387146
2,0.865887463092804,0.32005900144577026,0.8284953832626343,0.32177966833114624
3,0.8762800097465515,0.2841978073120117,0.8388025760650635,0.3142527639865875
4,0.8826102614402771,0.2627803385257721,0.8488397598266602,0.2875004708766937
5,0.8867682814598083,0.24964755773544312,0.8491215109825134,0.2819822132587433
6,0.8898253440856934,0.24071791768074036,0.8502171635627747,0.274917870759964
7,0.8921428918838501,0.23440660536289215,0.847728431224823,0.2751317322254181
8,0.8939084410667419,0.22935709357261658,0.8450557589530945,0.27126848697662354
9,0.8953976631164551,0.2252543866634369,0.8509998321533203,0.2558063864707947
10,0.8968199491500854,0.2218356728553772,0.8474036455154419,0.26046037673950195
11,0.8979651927947998,0.2188674807548523,0.8480257987976074,0.25271880626678467
12,0.8990049362182617,0.21629050374031067,0.8525298237800598,0.24920491874217987
13,0.8998603224754333,0.21424590051174164,0.8439796566963196,0.25085148215293884
14,0.9006331562995911,0.2123105674982071,0.847419261932373,0.24878056347370148
15,0.901266872882843,0.21082288026809692,0.8499001860618591,0.2627563178539276
16,0.901728630065918,0.20955206453800201,0.8483389019966125,0.2434055358171463
17,0.9021601676940918,0.20820185542106628,0.852318525314331,0.24705316126346588
0,0.775473415851593,0.6364556550979614,0.8209235072135925,0.35836857557296753
1,0.8741270303726196,0.3174571096897125,0.8364522457122803,0.2880868911743164
2,0.8883476853370667,0.265790730714798,0.8353522419929504,0.2758484184741974
3,0.8946496844291687,0.24240340292453766,0.8396238684654236,0.2609875202178955
4,0.8986308574676514,0.22824451327323914,0.8491650819778442,0.25626039505004883
5,0.9013981819152832,0.21857133507728577,0.8388894200325012,0.2507346570491791
6,0.9034023284912109,0.21164055168628693,0.8487204909324646,0.26069575548171997
7,0.9049403667449951,0.20607690513134003,0.8523169755935669,0.2423594743013382
8,0.9060538411140442,0.20177234709262848,0.8457892537117004,0.24134784936904907
9,0.9069207310676575,0.19874069094657898,0.8547508716583252,0.24662278592586517
10,0.9074615240097046,0.196182519197464,0.8437308669090271,0.2402959018945694
11,0.908112645149231,0.19405598938465118,0.8527747392654419,0.2342565953731537
12,0.9085736870765686,0.19204561412334442,0.856733500957489,0.23201826214790344
13,0.90901780128479,0.19051486253738403,0.8597503304481506,0.22792549431324005
14,0.9093673825263977,0.18905863165855408,0.8528801798820496,0.2369033843278885
15,0.9097332954406738,0.18784776329994202,0.8579949140548706,0.2321939468383789
16,0.9100454449653625,0.18684276938438416,0.8558574318885803,0.23345686495304108
17,0.9102053642272949,0.18601273000240326,0.8557882905006409,0.23488621413707733
18,0.9105386734008789,0.1849578469991684,0.8633830547332764,0.2293105572462082
19,0.9107065796852112,0.18426373600959778,0.8562526702880859,0.23543772101402283
20,0.910975992679596,0.1836017519235611,0.8641800880432129,0.22837550938129425
21,0.911129355430603,0.18299749493598938,0.8584197759628296,0.22735929489135742
22,0.9112400412559509,0.18264077603816986,0.8633139133453369,0.23158268630504608
23,0.9113699793815613,0.18207190930843353,0.8593617081642151,0.24040070176124573
24,0.9115641713142395,0.1816001981496811,0.8541646003723145,0.23646484315395355
25,0.9116368293762207,0.18122847378253937,0.8579422235488892,0.2288556843996048
0,0.7738133072853088,0.6394990086555481,0.7967230081558228,0.4110499322414398
1,0.8696908950805664,0.32878291606903076,0.8323584794998169,0.3002052903175354
2,0.8856543302536011,0.27388685941696167,0.8433125615119934,0.27655041217803955
3,0.8929858803749084,0.24812690913677216,0.8438164591789246,0.2629246711730957
4,0.8971092700958252,0.2333499789237976,0.8472252488136292,0.2628486752510071
5,0.9001299738883972,0.2228792905807495,0.8495965600013733,0.25036099553108215
6,0.9020902514457703,0.21567416191101074,0.8474031090736389,0.25650379061698914
7,0.9035077691078186,0.2102602869272232,0.8511181473731995,0.26393455266952515
8,0.90470290184021,0.2057490348815918,0.8492902517318726,0.2525494694709778
9,0.9058043360710144,0.20205208659172058,0.8536969423294067,0.25187069177627563
10,0.9066048860549927,0.1988115757703781,0.8515594601631165,0.2536538243293762
11,0.9073300361633301,0.19626188278198242,0.8580970168113708,0.24331219494342804
12,0.907861590385437,0.19394415616989136,0.8597997426986694,0.2415754497051239
13,0.9084150791168213,0.1919412910938263,0.8509765267372131,0.24011701345443726
14,0.9087982773780823,0.19041334092617035,0.8654678463935852,0.23846426606178284
15,0.9092350602149963,0.18886816501617432,0.8654184341430664,0.2320086807012558
16,0.9095627665519714,0.18746185302734375,0.8692520260810852,0.2349991649389267
17,0.909853994846344,0.18650971353054047,0.8667654991149902,0.23515938222408295
18,0.9099471569061279,0.18559148907661438,0.8624082207679749,0.23472802340984344
19,0.9101892113685608,0.18478281795978546,0.8682376742362976,0.23189343512058258
20,0.9104627370834351,0.18400335311889648,0.8707901239395142,0.2308439165353775
21,0.9106601476669312,0.18330082297325134,0.8707736134529114,0.22703923285007477
22,0.9108359813690186,0.18268322944641113,0.8743734359741211,0.23079447448253632
23,0.9111195206642151,0.18204019963741302,0.8634456396102905,0.234953835606575
24,0.9112367033958435,0.18139293789863586,0.8648782968521118,0.23211337625980377
25,0.9113734364509583,0.18093986809253693,0.873365581035614,0.22664843499660492
26,0.9115197658538818,0.18062709271907806,0.8668445348739624,0.22840283811092377
27,0.9117266535758972,0.1799839437007904,0.8701215386390686,0.22500038146972656
